cme_time,cme_speed_km_s,cme_width_deg,cme_cpa_deg,is_halo,kinetic_energy_proxy,sw_background_speed,solar_cycle_phase,dst_precondition,drag_factor,geoeffective,transit_time_hours,target_dst,target_kp,source
1996-01-11 00:14:36+00:00,499.0,18.0,267.0,0,38952.34,321.4,0.0665,2.0,177.6,1,57.75666666666667,-90.0,5.3,LASCO_CDAW
1996-01-15 07:01:10+00:00,525.0,43.0,262.0,0,101016.9,606.9,0.0665,-35.2,-81.9,1,118.98055555555555,-37.0,4.3,LASCO_CDAW
1996-03-14 11:44:18+00:00,418.0,59.0,285.0,0,86038.21,542.9,0.063,-31.1,-124.9,1,84.26166666666667,-38.0,4.3,LASCO_CDAW
1996-04-29 14:38:48+00:00,65.0,360.0,180.0,1,0.0,369.6,0.034,-2.5,-304.6,0,,-16.0,3.0,LASCO_CDAW
1996-05-06 09:42:38+00:00,430.0,73.0,88.0,0,109982.73,380.0,0.038,-12.4,50.0,1,43.28944444444444,-23.0,2.3,LASCO_CDAW
1996-05-11 08:31:10+00:00,476.0,58.0,268.0,0,109846.22,335.7,0.038,-3.8,140.3,1,85.48055555555555,-29.0,3.7,LASCO_CDAW
1996-06-02 05:49:40+00:00,457.0,10.0,200.0,0,18202.39,368.2,0.0825,-0.5,88.8,0,,-10.0,4.3,LASCO_CDAW
1996-06-06 23:30:34+00:00,414.0,53.0,274.0,0,76476.52,448.5,0.0825,-7.3,-34.5,0,,-9.0,2.3,LASCO_CDAW
1996-06-20 04:35:57+00:00,409.0,34.0,270.0,0,48908.23,452.8,0.0825,-5.3,-43.8,0,,-13.0,2.7,LASCO_CDAW
1996-06-24 08:10:14+00:00,528.0,10.0,26.0,0,24297.63,359.2,0.0825,3.4,168.8,0,,-14.0,3.0,LASCO_CDAW
1996-06-24 13:32:16+00:00,520.0,10.0,30.0,0,23566.91,359.5,0.0825,0.4,160.5,0,,-14.0,3.0,LASCO_CDAW
1996-07-09 12:28:18+00:00,452.0,86.0,273.0,0,139334.99,434.8,0.059,-9.8,17.2,1,67.52833333333334,-24.0,3.0,LASCO_CDAW
1996-07-09 15:35:11+00:00,635.0,8.0,5.0,0,28127.55,425.2,0.059,-8.3,209.8,1,64.41361111111111,-24.0,3.3,LASCO_CDAW
1996-07-11 05:59:36+00:00,447.0,10.0,199.0,0,17414.5,317.2,0.059,0.9,129.8,1,26.006666666666668,-24.0,3.3,LASCO_CDAW
1996-07-12 07:38:24+00:00,435.0,34.0,265.0,0,55324.04,324.3,0.059,0.1,110.7,0,,-16.0,3.3,LASCO_CDAW
1996-07-12 15:37:40+00:00,1085.0,68.0,260.0,0,658295.87,368.5,0.059,-15.2,716.5,0,,-16.0,3.3,LASCO_CDAW
1996-07-14 15:17:50+00:00,660.0,50.0,267.0,0,184092.51,372.6,0.059,11.5,287.4,0,,-16.0,3.3,LASCO_CDAW
1996-07-15 10:46:51+00:00,632.0,43.0,273.0,0,146389.39,377.2,0.059,-0.7,254.8,0,,-16.0,3.0,LASCO_CDAW
1996-07-16 02:19:53+00:00,602.0,47.0,278.0,0,144508.26,351.3,0.059,-3.6,250.7,0,,-16.0,3.0,LASCO_CDAW
1996-08-01 12:36:35+00:00,499.0,35.0,274.0,0,74876.04,536.4,0.0985,-13.5,-37.4,1,12.390277777777778,-27.0,3.0,LASCO_CDAW
1996-08-02 08:17:27+00:00,577.0,9.0,173.0,0,26121.31,548.1,0.0985,-15.8,28.9,1,131.70916666666668,-23.0,3.0,LASCO_CDAW
1996-08-03 01:45:09+00:00,451.0,9.0,173.0,0,15958.66,502.0,0.0985,-14.2,-51.0,1,114.2475,-23.0,3.0,LASCO_CDAW
1996-08-06 03:00:05+00:00,402.0,5.0,189.0,0,7049.07,365.6,0.0985,-9.3,36.4,1,40.99861111111111,-23.0,3.0,LASCO_CDAW
1996-08-10 16:55:05+00:00,413.0,42.0,290.0,0,61126.46,364.9,0.0985,-3.5,48.1,1,98.08194444444445,-27.0,3.7,LASCO_CDAW
1996-08-11 06:46:25+00:00,410.0,28.0,284.0,0,40667.07,361.3,0.0985,3.0,48.7,1,84.22638888888889,-27.0,3.7,LASCO_CDAW
1996-08-13 16:09:18+00:00,620.0,153.0,258.0,0,373779.0,376.1,0.0985,11.7,243.9,1,26.845,-27.0,3.7,LASCO_CDAW
1996-08-14 19:30:09+00:00,691.0,235.0,229.0,0,423530.82,415.9,0.0985,-5.1,275.1,1,48.4975,-23.0,3.7,LASCO_CDAW
1996-08-16 14:14:06+00:00,364.0,360.0,180.0,1,0.0,405.6,0.0985,3.0,-41.6,0,,-15.0,3.0,LASCO_CDAW
1996-08-19 11:18:27+00:00,406.0,82.0,127.0,0,108142.15,436.5,0.0985,-3.3,-30.5,1,141.6925,-34.0,3.7,LASCO_CDAW
1996-08-22 08:38:43+00:00,979.0,125.0,91.0,0,850147.55,378.0,0.0985,-5.3,601.0,1,72.35472222222222,-34.0,3.7,LASCO_CDAW
1996-08-22 09:09:24+00:00,413.0,29.0,268.0,0,42707.07,375.6,0.0985,-5.5,37.4,1,71.84333333333333,-34.0,3.7,LASCO_CDAW
1996-09-02 09:45:05+00:00,571.0,13.0,66.0,0,36908.89,389.7,0.015,-14.9,181.3,1,61.24861111111111,-30.0,4.3,LASCO_CDAW
1996-09-04 02:15:07+00:00,455.0,16.0,4.0,0,28812.31,315.7,0.015,-7.1,139.3,1,20.748055555555556,-30.0,5.0,LASCO_CDAW
1996-09-08 07:20:07+00:00,427.0,10.0,23.0,0,15891.02,408.3,0.015,-9.1,18.7,1,96.66472222222222,-54.0,5.0,LASCO_CDAW
1996-09-17 11:10:05+00:00,410.0,27.0,266.0,0,39242.17,507.2,0.015,-17.4,-97.2,1,139.83194444444445,-51.0,5.7,LASCO_CDAW
1996-09-22 17:53:45+00:00,545.0,17.0,347.0,0,43903.09,614.7,0.015,-32.7,-69.7,1,13.104166666666666,-51.0,6.3,LASCO_CDAW
1996-10-05 09:37:05+00:00,569.0,247.0,228.0,0,269979.71,436.0,0.0035,-7.8,133.0,1,105.38194444444444,-37.0,4.7,LASCO_CDAW
1996-10-19 08:50:05+00:00,415.0,33.0,68.0,0,48914.54,594.2,0.0035,-31.7,-179.2,1,91.16527777777777,-105.0,7.3,LASCO_CDAW
1996-10-19 17:17:05+00:00,480.0,170.0,159.0,0,229523.26,592.0,0.0035,-36.8,-112.0,1,82.71527777777777,-105.0,7.3,LASCO_CDAW
1996-10-20 18:50:07+00:00,754.0,31.0,126.0,0,151929.29,553.0,0.0035,-30.5,201.0,1,57.164722222222224,-105.0,7.3,LASCO_CDAW
1996-10-29 06:58:05+00:00,408.0,13.0,5.0,0,18844.26,581.8,0.0035,-18.7,-173.8,1,38.03194444444444,-41.0,4.3,LASCO_CDAW
